Date,Open,High,Low,Close,Volume,Adj Close
2016-10-20,86.82,87.470001,86.489998,86.919998,000,86.919998
2016-10-19,86.029999,87.300003,85.989998,87.110001,000,87.110001
2016-10-18,86.129997,86.129997,85.139999,85.739998,000,85.739998
2016-10-17,85.610001,85.779999,84.919998,85.07,000,85.07
2016-10-14,85.989998,86.360001,85.360001,85.610001,000,85.610001
2016-10-13,86.419998,86.459999,84.540001,85.089996,000,85.089996
2016-10-12,87.580002,87.889999,87.239998,87.330002,000,87.330002
2016-10-11,88.330002,88.720001,87.080002,87.519997,000,87.519997
2016-10-10,88.309998,88.900002,88.239998,88.370003,000,88.370003
2016-10-07,87.730003,87.919998,86.830002,87.790001,000,87.790001
2016-10-06,87.82,87.970001,87.260002,87.839996,000,87.839996
2016-10-05,86.68,88.300003,86.660004,87.779999,000,87.779999
2016-10-04,85.82,86.699997,85.690002,86.220001,000,86.220001
2016-10-03,85.839996,86.400002,85.389999,85.629997,000,85.629997
2016-09-30,85.400002,86.809998,85.169998,86.489998,000,86.489998
2016-09-29,86.440002,86.790001,84.870003,84.989998,000,84.989998
2016-09-28,85.739998,86.389999,85.169998,86.360001,000,86.360001
2016-09-27,84.260002,85.349998,84.18,85.309998,000,85.309998
2016-09-26,85.889999,85.93,84.629997,84.650002,000,84.650002
2016-09-23,86.349998,87.059998,86.339996,86.510002,000,86.510002
2016-09-22,86.00,86.720001,85.849998,86.699997,000,86.699997
2016-09-21,85.709999,86.099998,85.029999,85.660004,000,85.660004
2016-09-20,85.809998,85.82,85.220001,85.230003,000,85.230003
2016-09-19,85.489998,86.07,84.919998,85.370003,000,85.370003
2016-09-16,85.370003,85.400002,84.629997,85.139999,000,85.139999
2016-09-15,84.910004,85.790001,84.900002,85.68,000,85.68
2016-09-14,85.82,86.059998,84.849998,84.93,000,84.93
2016-09-13,86.230003,86.230003,84.910004,85.830002,000,85.830002
2016-09-12,86.309998,87.169998,85.580002,87.160004,000,87.160004
2016-09-09,87.269997,87.860001,86.779999,86.790001,000,86.790001
2016-09-08,87.470001,87.730003,87.160004,87.510002,000,87.510002
2016-09-07,86.379997,87.400002,86.279999,87.400002,000,87.400002
2016-09-06,88.260002,88.260002,86.360001,86.68,000,86.68
2016-09-02,87.489998,88.209999,87.029999,88.209999,000,88.209999
2016-09-01,88.059998,88.32,86.650002,87.290001,000,87.290001
2016-08-31,87.949997,88.150002,87.040001,87.889999,000,87.889999
2016-08-30,87.190002,87.889999,87.18,87.889999,000,87.889999
2016-08-29,86.580002,87.419998,86.580002,87.139999,000,87.139999
2016-08-26,86.169998,86.800003,85.970001,86.529999,000,86.529999
2016-08-25,85.550003,86.129997,85.540001,86.099998,000,86.099998
2016-08-24,85.540001,85.809998,85.449997,85.720001,000,85.720001
2016-08-23,85.510002,85.879997,85.510002,85.529999,000,85.529999
2016-08-22,84.879997,85.379997,84.739998,85.279999,000,85.279999
2016-08-19,84.93,85.230003,84.800003,85.129997,000,85.129997
2016-08-18,84.440002,85.139999,84.400002,85.139999,000,85.139999
2016-08-17,84.120003,84.800003,84.120003,84.519997,000,84.519997
2016-08-16,84.120003,84.529999,83.940002,84.260002,000,84.260002
2016-08-15,83.68,84.599998,83.620003,84.510002,000,84.510002
2016-08-12,83.139999,83.470001,82.860001,83.459999,000,83.459999
2016-08-11,83.760002,84.029999,83.559998,83.720001,000,83.720001
2016-08-10,84.470001,84.480003,83.43,83.540001,000,83.540001
2016-08-09,84.339996,84.739998,84.25,84.629997,000,84.629997
2016-08-08,84.940002,85.129997,84.209999,84.360001,000,84.360001
2016-08-05,82.830002,84.790001,82.82,84.790001,000,84.790001
2016-08-04,81.809998,82.290001,81.790001,82.00,000,82.00
2016-08-03,80.910004,81.970001,80.900002,81.959999,000,81.959999
2016-08-02,81.489998,81.669998,80.529999,80.830002,000,80.830002
2016-08-01,82.480003,82.870003,81.43,81.519997,000,81.519997
2016-07-29,82.639999,82.959999,82.139999,82.300003,000,82.300003
